record_id,Longitude,Latitude
usa-m-000001,-80.177943,25.891825
usa-m-000002,-81.593695,41.529895
usa-m-000003,-84.160550,33.898620
usa-m-000004,-96.068378,41.285933
usa-m-000005,-71.433674,42.522572
usa-m-000006,-122.581240,45.522920
usa-m-000007,-83.060594,42.389034
usa-m-000008,-119.243213,35.771902
usa-m-000009,-90.397331,38.437857
usa-m-000010,-73.976109,40.628018
usa-m-000011,-122.284611,47.476904
usa-m-000012,-83.272084,42.127327
usa-m-000013,-96.704328,32.946794
usa-m-000014,-93.209509,45.023950
usa-m-000015,-93.258010,45.042622
usa-m-000016,-93.286505,44.290205
usa-m-000017,-93.256781,44.950910
usa-m-000018,-83.119304,39.940478
usa-m-000019,-122.289032,47.552135
usa-m-000020,-88.344725,42.132200
usa-m-000021,-74.715060,40.090950
usa-m-000022,-95.597048,29.622640
usa-m-000023,-77.456243,39.018224
usa-m-000024,-77.334185,38.858983
usa-m-000025,-77.571952,38.732058
usa-m-000026,-77.551609,39.069400
usa-m-000027,-77.437992,38.885430
usa-m-000028,-117.138960,32.803405
usa-m-000029,-73.924969,42.802569
usa-m-000030,-90.317580,38.511760
usa-m-000031,-115.249700,36.154500
usa-m-000032,-83.685314,41.638916
usa-m-000033,-97.356786,37.672955
usa-m-000034,-73.909671,40.745149
usa-m-000035,-83.060040,40.091320
usa-m-000036,-117.790048,34.071752
usa-m-000037,-76.979332,38.932687
usa-m-000038,-83.930523,43.489728
usa-m-000039,-73.867314,40.875985
usa-m-000040,-73.776036,40.721983
usa-m-000041,-96.723340,33.086690
usa-m-000042,-74.160425,40.940295
usa-m-000043,-77.523370,37.470270
usa-m-000044,-117.160611,32.890655
usa-m-000045,-122.713130,45.453350
usa-m-000046,-73.414677,40.677827
usa-m-000047,-90.238122,30.024828
usa-m-000048,-81.730143,30.319863
usa-m-000049,-79.883430,40.441583
usa-m-000050,-96.213763,41.289788
usa-m-000051,-75.211341,39.955482
usa-m-000052,-81.750828,33.577921
usa-m-000053,-77.242390,38.743430
usa-m-000054,-73.930579,40.628909
usa-m-000055,-75.829222,39.608529
usa-m-000056,-116.602440,33.078570
usa-m-000057,-83.251897,40.105609
usa-m-000058,-73.951314,40.690289
usa-m-000059,-73.817908,40.688236
usa-m-000060,-73.993119,40.930982
usa-m-000061,-81.825496,41.430181
usa-m-000062,-93.405021,44.901085
usa-m-000063,-73.863714,40.678163
usa-m-000064,-80.117442,26.555975
usa-m-000065,-73.925765,40.754945
usa-m-000066,-87.383228,41.591810
usa-m-000067,-75.094586,40.051042
usa-m-000068,-95.517465,30.236190
usa-m-000069,-73.783441,40.683946
usa-m-000070,-73.996254,40.597623
usa-m-000071,-117.088229,32.749816
usa-m-000072,-96.740653,32.936948
usa-m-000073,-88.191033,41.556805
usa-m-000074,-75.141542,39.973897
usa-m-000075,-121.227830,37.964870
usa-m-000076,-73.736441,42.837253
usa-m-000077,-73.479201,40.738634
usa-m-000078,-154.978917,19.548432
usa-m-000079,-112.111801,33.532290
usa-m-000080,-75.075401,39.866840
usa-m-000081,-82.789610,40.024010
usa-m-000082,-86.489960,36.959610
usa-m-000083,-78.884958,42.907316
usa-m-000084,-86.203639,39.807385
usa-m-000085,-73.782206,40.708357
usa-m-000086,-83.427931,42.525662
usa-m-000087,-73.863838,40.747200
usa-m-000088,-73.946274,40.816584
usa-m-000089,-72.745923,42.110299
usa-m-000090,-74.115503,41.509596
usa-m-000091,-73.979503,40.684627
usa-m-000092,-112.026511,41.116689
usa-m-000093,-79.944350,40.494963
usa-m-000094,-122.311669,47.322046
usa-m-000095,-93.300322,44.980700
usa-m-000096,-80.032238,32.982655
usa-m-000097,-122.660994,45.577005
usa-m-000098,-73.860340,40.677870
usa-m-000099,-95.517489,29.738111
usa-m-000100,-75.055612,40.044263
usa-m-000101,-83.149296,42.328955
usa-m-000102,-83.091063,39.942216
usa-m-000103,-74.003530,40.799163
usa-m-000104,-118.327736,34.025487
usa-m-000105,-86.243032,39.852287
usa-m-000106,-73.888113,40.875801
usa-m-000107,-73.355010,41.417940
usa-m-000108,-97.167280,32.768410
usa-m-000109,-117.936559,33.749044
usa-m-000110,-74.441445,39.356496
usa-m-000111,-73.748493,42.742248
usa-m-000112,-75.124392,40.011152
usa-m-000113,-73.675340,42.738264
usa-m-000114,-86.193361,39.857644
usa-m-000115,-73.910289,40.758373
usa-m-000116,-84.630050,39.006970
usa-m-000117,-87.983050,41.963720
usa-m-000118,-74.054924,40.749169
usa-m-000119,-94.525392,39.111188
usa-m-000120,-82.987420,40.048080
usa-m-000121,-83.154612,42.344142
usa-m-000122,-76.501262,42.533755
usa-m-000123,-82.897780,39.929390
usa-m-000124,-82.714540,41.443490
usa-m-000125,-111.877722,40.701455
usa-m-000126,-73.923197,40.665048
usa-m-000127,-97.528993,30.452254
usa-m-000128,-122.589555,45.526015
usa-m-000129,-84.059688,39.671573
usa-m-000130,-87.873274,42.913400
usa-m-000131,-71.027520,42.387944
usa-m-000132,-83.062225,42.478290
usa-m-000133,-73.930152,40.676860
usa-m-000134,-80.355898,25.613135
usa-m-000135,-83.180860,42.401830
usa-m-000136,-74.077683,40.639804
usa-m-000137,-81.771150,28.546520
usa-m-000138,-80.091312,26.584440
usa-m-000139,-74.028650,41.499550
