record_id,Mosque Name,City,State,Denomination,Is Active
usa-m-000001,1025 NE 126th Street Parking,North Miami,FL,sunni,true
usa-m-000002,Abdullah Bin Mas'ud,Cleveland,OH,sunni,true
usa-m-000003,Abdullah Mosque,Lilburn,GA,sunni,true
usa-m-000004,Aboutaleb Mosque,Omaha,NE,sunni,true
usa-m-000005,ABRICC - Acton Boxborough Regional Islamic Community Center - Acton Masjid,Acton,ME,sunni,true
usa-m-000006,Abu-Bakar Islamic Center,Portland,OR,sunni,true
usa-m-000007,Abu Bakr Al Siddique Islamic Center,Hamtramck,MI,sunni,true
usa-m-000008,Abu Bakr As Siddeek Mosque,Delano,CA,sunni,true
usa-m-000009,Abu Bakr As Siddiq Islamic Center - Eugene Islamic Center,Eugene,OR,sunni,true
usa-m-000010,Abu Bakr El Seddique Mosque,Brooklyn,NY,sunni,true
usa-m-000011,Abu Bakr Islamic Center of Washington,Tukwila,WA,sunni,true
usa-m-000012,Abu Bakr Siddiq Mosque,Brownstown Township,MI,sunni,true
usa-m-000013,Abu Hanifa Masjid,Richardson,TX,sunni,true
usa-m-000014,Abu Huraira Mosque,Minneapolis,MI,sunni,true
usa-m-000015,Abu Khadra Masjid,Minneapolis,MI,sunni,true
usa-m-000016,Abubakar As Saddique Islamic Center,Faribault,MN,sunni,true
usa-m-000017,Abubakar As Saddique Islamic Center,Minneapolis,MN,sunni,true
usa-m-000018,Abubakar Asiddiq Islamic Center,Columbus,OH,sunni,true
usa-m-000019,Abubakr Mosque of Washington,Seattle,WA,sunni,true
usa-m-000020,Academy of Islamic Education - AIE,Dundee Townhip,IL,sunni,true
usa-m-000021,Ad Dawah Center of New Jersey,Columbus,NJ,sunni,true
usa-m-000022,Adam Masjid,Sugar Land,TX,sunni,true
usa-m-000023,ADAMS Ashburn,Ashburn,VA,sunni,true
usa-m-000024,ADAMS Fairfax,Fairfax,VA,sunni,true
usa-m-000025,ADAMS Gainsville,Nokesville,VA,sunni,true
usa-m-000026,ADAMS Leesburg - MCCL,Leesburg,VA,sunni,true
usa-m-000027,ADAMS Sully,Chantilly,VA,sunni,true
